concept,feature,label
monkey,can make sounds,1
beetle,can make sounds,1
moped,can make sounds,1
duck,can make sounds,1
blender,can make sounds,1
flamingo,can make sounds,1
panther,can make sounds,1
squirrel,can make sounds,1
crane,can make sounds,1
bomb,can make sounds,1
pistol,can make sounds,1
falcon,can make sounds,1
toaster,can make sounds,1
hammer,can make sounds,1
typewriter,can make sounds,1
cat,can make sounds,1
gorilla,can make sounds,1
drill,can make sounds,1
glider,can make sounds,1
bicycle,can make sounds,1
coffee_maker,can make sounds,1
coach,can make sounds,1
kangaroo,can make sounds,1
sparrow,can make sounds,1
train,can make sounds,1
ox,can make sounds,1
whale,can make sounds,1
deer,can make sounds,1
nightingale,can make sounds,1
chainsaw,can make sounds,1
caravan,can make sounds,1
bus,can make sounds,1
buttercup,can make sounds,0
ball,can make sounds,0
carnation,can make sounds,0
dice,can make sounds,0
basin,can make sounds,0
clock,can make sounds,0
seahorse,can make sounds,0
cockroach,can make sounds,0
chestnut,can make sounds,0
desk,can make sounds,0
arrow,can make sounds,0
swing,can make sounds,0
cupboard,can make sounds,0
blueberry,can make sounds,0
raisin,can make sounds,0
wine,can make sounds,0
dresser,can make sounds,0
scythe,can make sounds,0
crab,can make sounds,0
cannon,can make sounds,0
cod,can make sounds,0
daffodil,can make sounds,0
grater,can make sounds,0
screw,can make sounds,0
basket,can make sounds,0
pine,can make sounds,0
ladle,can make sounds,0
cage,can make sounds,0
mirror,can make sounds,0
stool,can make sounds,0
gloves,can make sounds,0
skateboard,can make sounds,0
herring,can make sounds,0
bucket,can make sounds,0
cider,can make sounds,0
jam,can make sounds,0
tulip,can make sounds,0
swimsuit,can make sounds,0
eggplant,can make sounds,0
chest_of_drawers,can make sounds,0
caterpillar,can make sounds,0
kiwi,can make sounds,0
octopus,can make sounds,0
football,can make sounds,0
screwdriver,can make sounds,0
throne,can make sounds,0
hyacinth,can make sounds,0
sweater,can make sounds,0
mussel,can make sounds,0
crossbow,can make sounds,0
spatula,can make sounds,0
ashtray,can make sounds,0
deckchair,can make sounds,0
dress,can make sounds,0
trouser,can make sounds,0
broom,can make sounds,0
pajama,can make sounds,0
suit,can make sounds,0
parsley,can make sounds,0
pliers,can make sounds,0
trout,can make sounds,0
hair,can make sounds,0
scallop,can make sounds,0
worm,can make sounds,0
marble,can make sounds,0
hoe,can make sounds,0
lamp,can make sounds,0
yacht,can make sounds,0
helmet,can make sounds,0
belt,can make sounds,0
sink,can make sounds,0
corkscrew,can make sounds,0
sofa,can make sounds,0
oak,can make sounds,0
eucalyptus,can make sounds,0
sunflower,can make sounds,0
rollerskate,can make sounds,0
armchair,can make sounds,0
wetsuit,can make sounds,0
frisbee,can make sounds,0
scarf,can make sounds,0
slug,can make sounds,0
bolt,can make sounds,0
orchid,can make sounds,0
can_opener,can make sounds,0
locust,can make sounds,0
centipede,can make sounds,0
daisy,can make sounds,0
bag,can make sounds,0
elm,can make sounds,0
chandelier,can make sounds,0
puppet,can make sounds,0
knife,can make sounds,0
barrel,can make sounds,0
table,can make sounds,0
geranium,can make sounds,0
carp,can make sounds,0
termite,can make sounds,0
bookcase,can make sounds,0
armor,can make sounds,0
cup,can make sounds,0
nail,can make sounds,0
lips,can make sounds,0
cauliflower,can make sounds,0
dandelion,can make sounds,0
gown,can make sounds,0
rolling_pin,can make sounds,0
prawn,can make sounds,0
rake,can make sounds,0
oil_tanker,can make sounds,0
chair,can make sounds,0
spade,can make sounds,0
doll,can make sounds,0
tweezer,can make sounds,0
bathtub,can make sounds,0
boomerang,can make sounds,0
plow,can make sounds,0
spanner,can make sounds,0
trowel,can make sounds,0
sardine,can make sounds,0
club,can make sounds,0
flounder,can make sounds,0
balloon,can make sounds,0
satchel,can make sounds,0
stick_insect,can make sounds,0
jar,can make sounds,0
tomato,can make sounds,0
apron,can make sounds,0
willow,can make sounds,0
whisk,can make sounds,0
hornet,can make sounds,0
tray,can make sounds,0
rocking_chair,can make sounds,0
bullet,can make sounds,0
shovel,can make sounds,0
millipede,can make sounds,0
harpoon,can make sounds,0
catapult,can make sounds,0
spoon,can make sounds,0
skirt,can make sounds,0
yoghurt,can make sounds,0
bin,can make sounds,0
snail,can make sounds,0
mug,can make sounds,0
marigold,can make sounds,0
raft,can make sounds,0
bowl,can make sounds,0
salmon,can make sounds,0
yoyo,can make sounds,0
squid,can make sounds,0
tarantula,can make sounds,0
earmuffs,can make sounds,0
spear,can make sounds,0
machete,can make sounds,0
fork,can make sounds,0
bottle,can make sounds,0
spider,can make sounds,0
dagger,can make sounds,0
cradle,can make sounds,0
clam,can make sounds,0
rattle,can make sounds,0
sycamore,can make sounds,0
bow,can make sounds,0
minnow,can make sounds,0
watermelon,can make sounds,0
goldfish,can make sounds,0
housefly,can make sounds,0
sword,can make sounds,0
brussels_sprout,can make sounds,0
butterfly,can make sounds,0
fir,can make sounds,0
boat,can make sounds,0
jug,can make sounds,0
moth,can make sounds,0
rose,can make sounds,0
colander,can make sounds,0
mackerel,can make sounds,0
bed,can make sounds,0
oyster,can make sounds,0
cheese,can make sounds,0
box,can make sounds,0
robe,can make sounds,0
stocking,can make sounds,0
pansy,can make sounds,0
peeler,can make sounds,0
hutch,can make sounds,0
strainer,can make sounds,0
flea,can make sounds,0
veil,can make sounds,0
bench,can make sounds,0
lily,can make sounds,0
birch,can make sounds,0
tuna,can make sounds,0
crayfish,can make sounds,0
shirt,can make sounds,0
clamp,can make sounds,0
kite,can make sounds,0
shrimp,can make sounds,0
jellyfish,can make sounds,0
chopping_board,can make sounds,0
plate,can make sounds,0
ladybird,can make sounds,0
ant,can make sounds,0
crowbar,can make sounds,0
milk,can make sounds,0
eel,can make sounds,0
carrot,can make sounds,0
shark,can make sounds,0
grape,can make sounds,0
spirit_level,can make sounds,0
wallet,can make sounds,0
leotard,can make sounds,0
saw,can make sounds,0
axe,can make sounds,0
nectarine,can make sounds,0
cap,can make sounds,0
poppy,can make sounds,0
hose,can make sounds,0
dice,can be made of wood,1
clock,can be made of wood,1
desk,can be made of wood,1
cupboard,can be made of wood,1
arrow,can be made of wood,1
revolver,can be made of wood,1
swing,can be made of wood,1
carriage,can be made of wood,1
dresser,can be made of wood,1
scythe,can be made of wood,1
kayak,can be made of wood,1
tambourine,can be made of wood,1
rifle,can be made of wood,1
guitar,can be made of wood,1
screw,can be made of wood,1
basket,can be made of wood,1
ladle,can be made of wood,1
shotgun,can be made of wood,1
cage,can be made of wood,1
sledge,can be made of wood,1
mirror,can be made of wood,1
stool,can be made of wood,1
skateboard,can be made of wood,1
bucket,can be made of wood,1
harmonica,can be made of wood,1
harpsichord,can be made of wood,1
chest_of_drawers,can be made of wood,1
bayonet,can be made of wood,1
screwdriver,can be made of wood,1
throne,can be made of wood,1
flute,can be made of wood,1
organ,can be made of wood,1
crossbow,can be made of wood,1
deckchair,can be made of wood,1
spatula,can be made of wood,1
broom,can be made of wood,1
banjo,can be made of wood,1
yacht,can be made of wood,1
clarinet,can be made of wood,1
hoe,can be made of wood,1
lamp,can be made of wood,1
corkscrew,can be made of wood,1
armchair,can be made of wood,1
cart,can be made of wood,1
ferry,can be made of wood,1
accordion,can be made of wood,1
knife,can be made of wood,1
speedboat,can be made of wood,1
puppet,can be made of wood,1
houseboat,can be made of wood,1
barrel,can be made of wood,1
table,can be made of wood,1
bagpipe,can be made of wood,1
bookcase,can be made of wood,1
barge,can be made of wood,1
nail,can be made of wood,1
hatchet,can be made of wood,1
rolling_pin,can be made of wood,1
rake,can be made of wood,1
chair,can be made of wood,1
spade,can be made of wood,1
doll,can be made of wood,1
boomerang,can be made of wood,1
canoe,can be made of wood,1
plow,can be made of wood,1
trowel,can be made of wood,1
violin,can be made of wood,1
club,can be made of wood,1
cello,can be made of wood,1
rocking_chair,can be made of wood,1
tray,can be made of wood,1
spoon,can be made of wood,1
catapult,can be made of wood,1
shovel,can be made of wood,1
harpoon,can be made of wood,1
ship,can be made of wood,1
bin,can be made of wood,1
mug,can be made of wood,1
raft,can be made of wood,1
tugboat,can be made of wood,1
bowl,can be made of wood,1
drum,can be made of wood,1
yoyo,can be made of wood,1
wheelbarrow,can be made of wood,1
spear,can be made of wood,1
machete,can be made of wood,1
fork,can be made of wood,1
cradle,can be made of wood,1
dagger,can be made of wood,1
rattle,can be made of wood,1
bow,can be made of wood,1
sword,can be made of wood,1
boat,can be made of wood,1
harp,can be made of wood,1
bed,can be made of wood,1
castanets,can be made of wood,1
penknife,can be made of wood,1
box,can be made of wood,1
piano,can be made of wood,1
peeler,can be made of wood,1
hutch,can be made of wood,1
bench,can be made of wood,1
pistol,can be made of wood,1
hammer,can be made of wood,1
clamp,can be made of wood,1
kite,can be made of wood,1
chopping_board,can be made of wood,1
dinghy,can be made of wood,1
spirit_level,can be made of wood,1
saw,can be made of wood,1
axe,can be made of wood,1
caravan,can be made of wood,1
chisel,can be made of wood,1
ball,can be made of wood,0
tank,can be made of wood,0
trolley,can be made of wood,0
wolf,can be made of wood,0
basin,can be made of wood,0
tricycle,can be made of wood,0
spanner,can be made of wood,0
wheelchair,can be made of wood,0
car,can be made of wood,0
balloon,can be made of wood,0
otter,can be made of wood,0
satchel,can be made of wood,0
buggy,can be made of wood,0
rocket,can be made of wood,0
motorcycle,can be made of wood,0
iguana,can be made of wood,0
jar,can be made of wood,0
unicycle,can be made of wood,0
apron,can be made of wood,0
crab,can be made of wood,0
cannon,can be made of wood,0
van,can be made of wood,0
pony,can be made of wood,0
whisk,can be made of wood,0
grater,can be made of wood,0
bullet,can be made of wood,0
gong,can be made of wood,0
tuba,can be made of wood,0
skirt,can be made of wood,0
pine,can be made of wood,0
goose,can be made of wood,0
orange,can be made of wood,0
pig,can be made of wood,0
gloves,can be made of wood,0
turkey,can be made of wood,0
television,can be made of wood,0
cider,can be made of wood,0
kettle,can be made of wood,0
earmuffs,can be made of wood,0
rat,can be made of wood,0
tractor,can be made of wood,0
bottle,can be made of wood,0
football,can be made of wood,0
grenade,can be made of wood,0
sweater,can be made of wood,0
trumpet,can be made of wood,0
truck,can be made of wood,0
airplane,can be made of wood,0
eye,can be made of wood,0
jelly,can be made of wood,0
blouse,can be made of wood,0
mussel,can be made of wood,0
raccoon,can be made of wood,0
ashtray,can be made of wood,0
gun,can be made of wood,0
dress,can be made of wood,0
jug,can be made of wood,0
trouser,can be made of wood,0
pajama,can be made of wood,0
colander,can be made of wood,0
suit,can be made of wood,0
cymbal,can be made of wood,0
bathtub,can be made of wood,0
pliers,can be made of wood,0
marble,can be made of wood,0
robe,can be made of wood,0
sock,can be made of wood,0
helmet,can be made of wood,0
french_horn,can be made of wood,0
sink,can be made of wood,0
trombone,can be made of wood,0
sofa,can be made of wood,0
monkey,can be made of wood,0
radio,can be made of wood,0
rollerskate,can be made of wood,0
arm,can be made of wood,0
blender,can be made of wood,0
frisbee,can be made of wood,0
scarf,can be made of wood,0
panther,can be made of wood,0
strainer,can be made of wood,0
bolt,can be made of wood,0
can_opener,can be made of wood,0
veil,can be made of wood,0
bag,can be made of wood,0
bomb,can be made of wood,0
chandelier,can be made of wood,0
helicopter,can be made of wood,0
camera,can be made of wood,0
shirt,can be made of wood,0
typewriter,can be made of wood,0
jellyfish,can be made of wood,0
drill,can be made of wood,0
glider,can be made of wood,0
saxophone,can be made of wood,0
plate,can be made of wood,0
donkey,can be made of wood,0
bicycle,can be made of wood,0
crowbar,can be made of wood,0
coach,can be made of wood,0
armor,can be made of wood,0
cup,can be made of wood,0
eel,can be made of wood,0
train,can be made of wood,0
wallet,can be made of wood,0
leotard,can be made of wood,0
cabbage,can be made of wood,0
dragonfly,can be made of wood,0
chainsaw,can be made of wood,0
cap,can be made of wood,0
oil_tanker,can be made of wood,0
bus,can be made of wood,0
tweezer,can be made of wood,0
willow,produces wood,1
pine,produces wood,1
fir,produces wood,1
chestnut,produces wood,1
birch,produces wood,1
elm,produces wood,1
oak,produces wood,1
eucalyptus,produces wood,1
sycamore,produces wood,1
buttercup,produces wood,0
frog,produces wood,0
carnation,produces wood,0
marigold,produces wood,0
geranium,produces wood,0
jellyfish,produces wood,0
tulip,produces wood,0
worm,produces wood,0
lamb,produces wood,0
caterpillar,produces wood,0
calf,produces wood,0
pansy,produces wood,0
sunflower,produces wood,0
beetle,produces wood,0
hyacinth,produces wood,0
slug,produces wood,0
dandelion,produces wood,0
daffodil,produces wood,0
orchid,produces wood,0
millipede,produces wood,0
brussels_sprout,produces wood,0
daisy,produces wood,0
centipede,produces wood,0
lily,produces wood,0
poppy,produces wood,0
snail,produces wood,0
rose,produces wood,0
cymbal,can play different notes,1
banjo,can play different notes,1
castanets,can play different notes,1
violin,can play different notes,1
clarinet,can play different notes,1
french_horn,can play different notes,1
piano,can play different notes,1
trombone,can play different notes,1
cello,can play different notes,1
tambourine,can play different notes,1
guitar,can play different notes,1
gong,can play different notes,1
tuba,can play different notes,1
accordion,can play different notes,1
drum,can play different notes,1
harmonica,can play different notes,1
bagpipe,can play different notes,1
saxophone,can play different notes,1
harpsichord,can play different notes,1
flute,can play different notes,1
trumpet,can play different notes,1
organ,can play different notes,1
harp,can play different notes,1
ball,can play different notes,0
basin,can play different notes,0
clock,can play different notes,0
club,can play different notes,0
arrow,can play different notes,0
swing,can play different notes,0
revolver,can play different notes,0
rocket,can play different notes,0
dresser,can play different notes,0
jar,can play different notes,0
rifle,can play different notes,0
tray,can play different notes,0
screw,can play different notes,0
bullet,can play different notes,0
basket,can play different notes,0
harpoon,can play different notes,0
shovel,can play different notes,0
ladle,can play different notes,0
shotgun,can play different notes,0
sledge,can play different notes,0
mirror,can play different notes,0
bin,can play different notes,0
bowl,can play different notes,0
bucket,can play different notes,0
chest_of_drawers,can play different notes,0
spear,can play different notes,0
bayonet,can play different notes,0
machete,can play different notes,0
bottle,can play different notes,0
dagger,can play different notes,0
screwdriver,can play different notes,0
grenade,can play different notes,0
bow,can play different notes,0
sword,can play different notes,0
crossbow,can play different notes,0
gun,can play different notes,0
jug,can play different notes,0
broom,can play different notes,0
colander,can play different notes,0
bathtub,can play different notes,0
box,can play different notes,0
hoe,can play different notes,0
lamp,can play different notes,0
peeler,can play different notes,0
rollerskate,can play different notes,0
frisbee,can play different notes,0
strainer,can play different notes,0
bolt,can play different notes,0
bag,can play different notes,0
bomb,can play different notes,0
pistol,can play different notes,0
camera,can play different notes,0
clamp,can play different notes,0
typewriter,can play different notes,0
barrel,can play different notes,0
table,can play different notes,0
drill,can play different notes,0
coach,can play different notes,0
bookcase,can play different notes,0
nail,can play different notes,0
train,can play different notes,0
spirit_level,can play different notes,0
wallet,can play different notes,0
rake,can play different notes,0
chainsaw,can play different notes,0
bus,can play different notes,0
tweezer,can play different notes,0
boomerang,can play different notes,0
plow,can play different notes,0
trolley,can transport people,1
lorry,can transport people,1
wheelchair,can transport people,1
limousine,can transport people,1
yacht,can transport people,1
car,can transport people,1
horse,can transport people,1
buggy,can transport people,1
carriage,can transport people,1
motorcycle,can transport people,1
moped,can transport people,1
kayak,can transport people,1
van,can transport people,1
taxi,can transport people,1
ship,can transport people,1
ferry,can transport people,1
sledge,can transport people,1
camel,can transport people,1
ambulance,can transport people,1
speedboat,can transport people,1
helicopter,can transport people,1
houseboat,can transport people,1
raft,can transport people,1
tugboat,can transport people,1
bicycle,can transport people,1
coach,can transport people,1
barge,can transport people,1
dinghy,can transport people,1
train,can transport people,1
truck,can transport people,1
airplane,can transport people,1
submarine,can transport people,1
caravan,can transport people,1
boat,can transport people,1
bus,can transport people,1
canoe,can transport people,1
buttercup,can transport people,0
ball,can transport people,0
dice,can transport people,0
basin,can transport people,0
tricycle,can transport people,0
spanner,can transport people,0
radish,can transport people,0
ketchup,can transport people,0
club,can transport people,0
sardine,can transport people,0
balloon,can transport people,0
coat,can transport people,0
satchel,can transport people,0
desk,can transport people,0
swing,can transport people,0
rocket,can transport people,0
dresser,can transport people,0
jar,can transport people,0
hippo,can transport people,0
unicycle,can transport people,0
cannon,can transport people,0
guitar,can transport people,0
mitten,can transport people,0
hornet,can transport people,0
grater,can transport people,0
tray,can transport people,0
screw,can transport people,0
llama,can transport people,0
basket,can transport people,0
catapult,can transport people,0
harpoon,can transport people,0
ladle,can transport people,0
lion,can transport people,0
yoghurt,can transport people,0
grasshopper,can transport people,0
pig,can transport people,0
cage,can transport people,0
shotgun,can transport people,0
mirror,can transport people,0
stool,can transport people,0
bin,can transport people,0
mosquito,can transport people,0
skateboard,can transport people,0
television,can transport people,0
gin,can transport people,0
artichoke,can transport people,0
bowl,can transport people,0
bucket,can transport people,0
drum,can transport people,0
yoyo,can transport people,0
heron,can transport people,0
pineapple,can transport people,0
eggplant,can transport people,0
chest_of_drawers,can transport people,0
earmuffs,can transport people,0
harpsichord,can transport people,0
kiwi,can transport people,0
octopus,can transport people,0
bottle,can transport people,0
cradle,can transport people,0
screwdriver,can transport people,0
rattle,can transport people,0
grenade,can transport people,0
sycamore,can transport people,0
bow,can transport people,0
flute,can transport people,0
organ,can transport people,0
housefly,can transport people,0
spatula,can transport people,0
rhino,can transport people,0
ashtray,can transport people,0
jug,can transport people,0
harp,can transport people,0
broom,can transport people,0
colander,can transport people,0
cymbal,can transport people,0
banjo,can transport people,0
castanets,can transport people,0
peach,can transport people,0
worm,can transport people,0
marble,can transport people,0
hoe,can transport people,0
lamp,can transport people,0
box,can transport people,0
robe,can transport people,0
pumpkin,can transport people,0
sink,can transport people,0
piano,can transport people,0
french_horn,can transport people,0
owl,can transport people,0
sunflower,can transport people,0
monkey,can transport people,0
peeler,can transport people,0
rollerskate,can transport people,0
armchair,can transport people,0
wasp,can transport people,0
strainer,can transport people,0
bolt,can transport people,0
flea,can transport people,0
giraffe,can transport people,0
bag,can transport people,0
bomb,can transport people,0
chandelier,can transport people,0
puppet,can transport people,0
camera,can transport people,0
clamp,can transport people,0
elephant,can transport people,0
barrel,can transport people,0
table,can transport people,0
kite,can transport people,0
chopping_board,can transport people,0
drill,can transport people,0
bagpipe,can transport people,0
bookcase,can transport people,0
armor,can transport people,0
cup,can transport people,0
nail,can transport people,0
spirit_level,can transport people,0
wallet,can transport people,0
dandelion,can transport people,0
rolling_pin,can transport people,0
deer,can transport people,0
saw,can transport people,0
seal,can transport people,0
rake,can transport people,0
turtle,can transport people,0
doll,can transport people,0
bathtub,can transport people,0
apricot,can transport people,0
plow,can transport people,0
trolley,can be used for transportation,1
lorry,can be used for transportation,1
wheelchair,can be used for transportation,1
limousine,can be used for transportation,1
yacht,can be used for transportation,1
car,can be used for transportation,1
horse,can be used for transportation,1
buggy,can be used for transportation,1
rocket,can be used for transportation,1
carriage,can be used for transportation,1
motorcycle,can be used for transportation,1
moped,can be used for transportation,1
kayak,can be used for transportation,1
rollerskate,can be used for transportation,1
cart,can be used for transportation,1
van,can be used for transportation,1
taxi,can be used for transportation,1
llama,can be used for transportation,1
ship,can be used for transportation,1
ferry,can be used for transportation,1
sledge,can be used for transportation,1
camel,can be used for transportation,1
ambulance,can be used for transportation,1
skateboard,can be used for transportation,1
speedboat,can be used for transportation,1
helicopter,can be used for transportation,1
houseboat,can be used for transportation,1
raft,can be used for transportation,1
tugboat,can be used for transportation,1
elephant,can be used for transportation,1
wheelbarrow,can be used for transportation,1
bicycle,can be used for transportation,1
donkey,can be used for transportation,1
coach,can be used for transportation,1
barge,can be used for transportation,1
dinghy,can be used for transportation,1
train,can be used for transportation,1
ox,can be used for transportation,1
truck,can be used for transportation,1
airplane,can be used for transportation,1
submarine,can be used for transportation,1
caravan,can be used for transportation,1
boat,can be used for transportation,1
oil_tanker,can be used for transportation,1
bus,can be used for transportation,1
canoe,can be used for transportation,1
ball,can be used for transportation,0
dice,can be used for transportation,0
tank,can be used for transportation,0
wolf,can be used for transportation,0
basin,can be used for transportation,0
tricycle,can be used for transportation,0
bear,can be used for transportation,0
buzzard,can be used for transportation,0
desk,can be used for transportation,0
cupboard,can be used for transportation,0
swing,can be used for transportation,0
calf,can be used for transportation,0
arrow,can be used for transportation,0
dresser,can be used for transportation,0
cannon,can be used for transportation,0
guitar,can be used for transportation,0
leg,can be used for transportation,0
grater,can be used for transportation,0
daffodil,can be used for transportation,0
screw,can be used for transportation,0
partridge,can be used for transportation,0
basket,can be used for transportation,0
goose,can be used for transportation,0
ladle,can be used for transportation,0
rabbit,can be used for transportation,0
orange,can be used for transportation,0
grasshopper,can be used for transportation,0
mirror,can be used for transportation,0
stool,can be used for transportation,0
bucket,can be used for transportation,0
thumb,can be used for transportation,0
cider,can be used for transportation,0
dressing_gown,can be used for transportation,0
chest_of_drawers,can be used for transportation,0
caterpillar,can be used for transportation,0
kiwi,can be used for transportation,0
octopus,can be used for transportation,0
screwdriver,can be used for transportation,0
grenade,can be used for transportation,0
chicken,can be used for transportation,0
pelican,can be used for transportation,0
foot,can be used for transportation,0
seagull,can be used for transportation,0
blouse,can be used for transportation,0
organ,can be used for transportation,0
spatula,can be used for transportation,0
gun,can be used for transportation,0
dress,can be used for transportation,0
broom,can be used for transportation,0
beaver,can be used for transportation,0
skunk,can be used for transportation,0
banjo,can be used for transportation,0
pliers,can be used for transportation,0
hyena,can be used for transportation,0
marble,can be used for transportation,0
hoe,can be used for transportation,0
lamp,can be used for transportation,0
worm,can be used for transportation,0
sink,can be used for transportation,0
sofa,can be used for transportation,0
trombone,can be used for transportation,0
oak,can be used for transportation,0
nut,can be used for transportation,0
satsuma,can be used for transportation,0
slug,can be used for transportation,0
bolt,can be used for transportation,0
locust,can be used for transportation,0
parka,can be used for transportation,0
bag,can be used for transportation,0
chandelier,can be used for transportation,0
puppet,can be used for transportation,0
accordion,can be used for transportation,0
knife,can be used for transportation,0
camera,can be used for transportation,0
hamster,can be used for transportation,0
apple,can be used for transportation,0
barrel,can be used for transportation,0
table,can be used for transportation,0
porcupine,can be used for transportation,0
geranium,can be used for transportation,0
cake,can be used for transportation,0
bookcase,can be used for transportation,0
armor,can be used for transportation,0
nail,can be used for transportation,0
hatchet,can be used for transportation,0
seal,can be used for transportation,0
rake,can be used for transportation,0
hedgehog,can be used for transportation,0
chair,can be used for transportation,0
tea,can be used for transportation,0
doll,can be used for transportation,0
bathtub,can be used for transportation,0
tweezer,can be used for transportation,0
boomerang,can be used for transportation,0
plow,can be used for transportation,0
spanner,can be used for transportation,0
trowel,can be used for transportation,0
club,can be used for transportation,0
otter,can be used for transportation,0
balloon,can be used for transportation,0
flounder,can be used for transportation,0
satchel,can be used for transportation,0
stick_insect,can be used for transportation,0
jar,can be used for transportation,0
bat,can be used for transportation,0
unicycle,can be used for transportation,0
apron,can be used for transportation,0
tray,can be used for transportation,0
shovel,can be used for transportation,0
gong,can be used for transportation,0
harpoon,can be used for transportation,0
catapult,can be used for transportation,0
skirt,can be used for transportation,0
soup,can be used for transportation,0
bin,can be used for transportation,0
dolphin,can be used for transportation,0
parakeet,can be used for transportation,0
bowl,can be used for transportation,0
drum,can be used for transportation,0
yoyo,can be used for transportation,0
gerbil,can be used for transportation,0
earmuffs,can be used for transportation,0
rat,can be used for transportation,0
bottle,can be used for transportation,0
cradle,can be used for transportation,0
rattle,can be used for transportation,0
bow,can be used for transportation,0
sword,can be used for transportation,0
raccoon,can be used for transportation,0
fir,can be used for transportation,0
mouse,can be used for transportation,0
washing_machine,can be used for transportation,0
jug,can be used for transportation,0
colander,can be used for transportation,0
bed,can be used for transportation,0
castanets,can be used for transportation,0
box,can be used for transportation,0
sock,can be used for transportation,0
piano,can be used for transportation,0
monkey,can be used for transportation,0
peeler,can be used for transportation,0
hutch,can be used for transportation,0
strainer,can be used for transportation,0
bench,can be used for transportation,0
squirrel,can be used for transportation,0
bomb,can be used for transportation,0
toaster,can be used for transportation,0
hammer,can be used for transportation,0
clamp,can be used for transportation,0
kite,can be used for transportation,0
cat,can be used for transportation,0
chopping_board,can be used for transportation,0
shrimp,can be used for transportation,0
drill,can be used for transportation,0
donut,can be used for transportation,0
crowbar,can be used for transportation,0
spirit_level,can be used for transportation,0
wallet,can be used for transportation,0
whale,can be used for transportation,0
potato,can be used for transportation,0
saw,can be used for transportation,0
cap,can be used for transportation,0
ant,can carry things,1
bee,can carry things,0
beetle,can carry things,0
